wavenumber,cross_sec
30092.70,1.58E-20
30092.80,1.85E-20
30092.90,2.04E-20
30093.00,2.02E-20
30093.10,1.83E-20
30093.20,1.76E-20
30093.30,1.79E-20
30093.40,1.62E-20
30093.50,1.55E-20
30093.60,1.72E-20
30093.70,1.77E-20
30093.80,1.83E-20
30093.90,1.79E-20
30094.00,1.67E-20
30094.10,1.70E-20
30094.20,1.73E-20
30094.30,1.68E-20
30094.40,1.72E-20
30094.50,1.66E-20
30094.60,1.51E-20
30094.70,1.64E-20
30094.80,1.80E-20
30094.90,1.98E-20
30095.00,2.09E-20
30095.10,2.14E-20
30095.20,2.04E-20
30095.30,1.78E-20
30095.40,2.01E-20
30095.50,2.26E-20
30095.60,2.12E-20
30095.70,1.74E-20
30095.80,1.40E-20
30095.90,1.61E-20
30096.00,1.87E-20
30096.10,1.83E-20
30096.20,1.76E-20
30096.30,1.63E-20
30096.40,1.54E-20
30096.50,1.77E-20
30096.60,2.10E-20
30096.70,2.42E-20
30096.80,2.46E-20
30096.90,2.10E-20
30097.00,1.77E-20
30097.10,1.74E-20
30097.20,1.88E-20
30097.30,2.00E-20
30097.40,1.81E-20
30097.50,1.72E-20
30097.60,1.85E-20
30097.70,1.88E-20
30097.80,1.93E-20
30097.90,1.89E-20
30098.00,1.88E-20
30098.10,2.08E-20
30098.20,2.06E-20
30098.30,1.94E-20
30098.40,2.13E-20
30098.50,2.25E-20
30098.60,2.21E-20
30098.70,2.30E-20
30098.80,2.43E-20
30098.90,2.56E-20
30099.00,2.55E-20
30099.10,2.35E-20
30099.20,2.37E-20
30099.30,2.36E-20
30099.40,2.25E-20
30099.50,2.32E-20
30099.60,2.48E-20
30099.70,2.60E-20
30099.80,2.47E-20
30099.90,2.30E-20
30100.00,2.13E-20
30100.10,1.81E-20
30100.20,1.78E-20
30100.30,2.11E-20
30100.40,2.20E-20
30100.50,2.17E-20
30100.60,2.32E-20
30100.70,2.22E-20
30100.80,2.25E-20
30100.90,2.12E-20
30101.00,1.73E-20
30101.10,1.60E-20
30101.20,1.60E-20
30101.30,1.55E-20
30101.40,1.80E-20
30101.50,2.06E-20
30101.60,1.93E-20
30101.70,1.98E-20
30101.80,2.11E-20
30101.90,1.95E-20
30102.00,1.70E-20
30102.10,1.53E-20
30102.20,1.76E-20
30102.30,2.19E-20
30102.40,2.19E-20
30102.50,1.86E-20
30102.60,1.66E-20
30102.70,1.99E-20
30102.80,2.56E-20
30102.90,2.85E-20
30103.00,3.01E-20
30103.10,2.91E-20
30103.20,2.35E-20
30103.30,1.98E-20
30103.40,2.06E-20
30103.50,2.08E-20
30103.60,1.87E-20
30103.70,1.65E-20
30103.80,2.04E-20
30103.90,2.39E-20
30104.00,2.03E-20
30104.10,1.83E-20
30104.20,2.30E-20
30104.30,2.80E-20
30104.40,3.21E-20
30104.50,3.56E-20
30104.60,3.67E-20
30104.70,3.31E-20
30104.80,2.84E-20
30104.90,2.19E-20
30105.00,1.80E-20
30105.10,1.54E-20
30105.20,1.71E-20
30105.30,2.45E-20
30105.40,4.59E-20
30105.50,7.14E-20
30105.60,7.89E-20
30105.70,6.14E-20
30105.80,4.14E-20
30105.90,5.10E-20
30106.00,5.37E-20
30106.10,5.54E-20
30106.20,4.87E-20
30106.30,3.22E-20
30106.40,5.23E-20
30106.50,1.32E-19
30106.60,1.75E-19
30106.70,1.57E-19
30106.80,1.96E-19
30106.90,3.45E-19
30107.00,6.38E-19
30107.10,1.92E-18
30107.20,9.42E-18
30107.30,2.98E-17
30107.40,3.56E-17
30107.50,1.52E-17
30107.60,2.98E-18
30107.70,6.70E-19
30107.80,4.61E-19
30107.90,3.58E-19
30108.00,1.72E-19
30108.10,5.86E-20
30108.20,5.16E-20
30108.30,1.19E-19
30108.40,1.48E-19
