wavenumber,cross_sec
30087.80,1.77E-21
30087.90,1.60E-21
30088.00,1.58E-21
30088.10,1.99E-21
30088.20,2.29E-21
30088.30,2.18E-21
30088.40,2.02E-21
30088.50,1.78E-21
30088.60,1.90E-21
30088.70,1.87E-21
30088.80,1.74E-21
30088.90,2.05E-21
30089.00,2.04E-21
30089.10,1.67E-21
30089.20,1.88E-21
30089.30,2.17E-21
30089.40,2.29E-21
30089.50,2.42E-21
30089.60,2.16E-21
30089.70,1.95E-21
30089.80,2.21E-21
30089.90,2.25E-21
30090.00,2.74E-21
30090.10,3.47E-21
30090.20,3.29E-21
30090.30,2.53E-21
30090.40,2.41E-21
30090.50,2.88E-21
30090.60,2.93E-21
30090.70,2.54E-21
30090.80,2.18E-21
30090.90,2.36E-21
30091.00,2.59E-21
30091.10,2.76E-21
30091.20,2.74E-21
30091.30,2.90E-21
30091.40,2.69E-21
30091.50,2.14E-21
30091.60,2.03E-21
30091.70,1.89E-21
30091.80,1.40E-21
30091.90,1.65E-21
30092.00,2.42E-21
30092.10,2.73E-21
30092.20,2.65E-21
30092.30,2.70E-21
30092.40,2.78E-21
30092.50,2.80E-21
30092.60,2.39E-21
30092.70,2.13E-21
30092.80,2.32E-21
30092.90,2.23E-21
30093.00,2.55E-21
30093.10,2.92E-21
30093.20,2.71E-21
30093.30,2.69E-21
30093.40,2.66E-21
30093.50,2.57E-21
30093.60,2.41E-21
30093.70,2.19E-21
30093.80,1.88E-21
30093.90,1.69E-21
30094.00,2.00E-21
30094.10,2.45E-21
30094.20,2.98E-21
30094.30,3.39E-21
30094.40,3.18E-21
30094.50,3.31E-21
30094.60,3.19E-21
30094.70,2.74E-21
30094.80,2.32E-21
30094.90,2.04E-21
30095.00,2.25E-21
30095.10,2.63E-21
30095.20,2.36E-21
30095.30,1.99E-21
30095.40,2.26E-21
30095.50,2.86E-21
30095.60,3.50E-21
30095.70,3.69E-21
30095.80,2.93E-21
30095.90,2.33E-21
30096.00,2.19E-21
30096.10,2.60E-21
30096.20,2.54E-21
30096.30,2.26E-21
30096.40,2.07E-21
30096.50,1.85E-21
30096.60,1.82E-21
30096.70,1.98E-21
30096.80,1.85E-21
30096.90,1.50E-21
30097.00,1.90E-21
30097.10,2.65E-21
30097.20,3.41E-21
30097.30,3.69E-21
30097.40,3.40E-21
30097.50,4.14E-21
30097.60,4.03E-21
30097.70,2.86E-21
30097.80,2.59E-21
30097.90,2.53E-21
30098.00,2.78E-21
30098.10,3.13E-21
30098.20,3.07E-21
30098.30,2.68E-21
30098.40,2.19E-21
30098.50,2.49E-21
30098.60,3.03E-21
30098.70,3.36E-21
30098.80,3.19E-21
30098.90,2.80E-21
30099.00,2.53E-21
30099.10,2.15E-21
30099.20,2.31E-21
30099.30,2.57E-21
30099.40,2.82E-21
30099.50,3.25E-21
30099.60,3.23E-21
30099.70,2.45E-21
30099.80,1.57E-21
30099.90,1.33E-21
30100.00,1.75E-21
30100.10,2.40E-21
30100.20,2.72E-21
30100.30,3.11E-21
30100.40,3.06E-21
30100.50,2.48E-21
30100.60,2.22E-21
30100.70,2.01E-21
30100.80,2.13E-21
30100.90,2.43E-21
30101.00,2.94E-21
30101.10,3.36E-21
30101.20,2.49E-21
30101.30,1.93E-21
30101.40,4.06E-21
30101.50,7.28E-21
30101.60,6.29E-21
30101.70,3.41E-21
30101.80,2.13E-21
30101.90,2.56E-21
30102.00,3.00E-21
30102.10,2.26E-21
30102.20,1.94E-21
30102.30,3.26E-21
30102.40,4.49E-21
30102.50,3.04E-21
30102.60,1.63E-21
30102.70,1.34E-21
30102.80,1.79E-21
30102.90,2.02E-21
30103.00,1.73E-21
30103.10,2.38E-21
30103.20,3.96E-21
30103.30,4.49E-21
30103.40,3.08E-21
30103.50,1.67E-21
30103.60,1.31E-21
30103.70,1.85E-21
30103.80,2.57E-21
30103.90,2.47E-21
30104.00,2.50E-21
30104.10,2.61E-21
30104.20,2.00E-21
30104.30,1.67E-21
30104.40,2.31E-21
30104.50,3.28E-21
30104.60,7.07E-21
30104.70,1.41E-20
30104.80,1.07E-20
30104.90,4.39E-21
30105.00,5.49E-21
30105.10,6.94E-21
30105.20,3.93E-21
30105.30,2.21E-21
30105.40,2.12E-21
30105.50,2.10E-21
30105.60,2.47E-21
30105.70,2.63E-21
30105.80,2.33E-21
30105.90,2.57E-21
30106.00,3.10E-21
30106.10,3.12E-21
30106.20,2.79E-21
30106.30,3.30E-21
30106.40,3.67E-21
30106.50,3.13E-21
30106.60,3.27E-21
30106.70,9.34E-21
30106.80,2.80E-20
30106.90,4.56E-20
30107.00,7.61E-20
30107.10,2.55E-19
30107.20,1.22E-18
30107.30,3.60E-18
30107.40,4.21E-18
30107.50,1.89E-18
30107.60,4.90E-19
30107.70,1.99E-19
30107.80,1.19E-19
30107.90,6.28E-20
30108.00,5.26E-20
30108.10,4.76E-20
30108.20,3.33E-20
30108.30,1.30E-20
30108.40,3.60E-21
30108.50,2.25E-21
30108.60,2.51E-21
30108.70,3.28E-21
30108.80,3.99E-21
30108.90,3.59E-21
30109.00,2.60E-21
30109.10,1.74E-21
30109.20,1.44E-21
30109.30,2.12E-21
30109.40,4.87E-21
30109.50,1.31E-20
30109.60,1.76E-20
30109.70,9.03E-21
30109.80,3.57E-21
30109.90,3.18E-21
30110.00,3.08E-21
30110.10,3.02E-21
30110.20,3.44E-21
30110.30,3.34E-21
30110.40,3.01E-21
30110.50,2.85E-21
30110.60,2.30E-21
30110.70,1.97E-21
30110.80,2.66E-21
30110.90,4.00E-21
30111.00,5.00E-21
30111.10,4.67E-21
30111.20,3.78E-21
30111.30,3.78E-21
30111.40,4.36E-21
30111.50,5.44E-21
30111.60,5.76E-21
30111.70,6.39E-21
30111.80,7.94E-21
30111.90,1.03E-20
30112.00,1.20E-20
30112.10,1.07E-20
30112.20,1.03E-20
30112.30,1.21E-20
30112.40,1.41E-20
30112.50,1.57E-20
30112.60,1.68E-20
30112.70,1.56E-20
30112.80,1.32E-20
30112.90,1.08E-20
30113.00,8.11E-21
30113.10,7.29E-21
30113.20,7.19E-21
30113.30,7.09E-21
30113.40,6.74E-21
30113.50,4.56E-21
30113.60,4.40E-21
30113.70,5.95E-21
30113.80,4.86E-21
30113.90,2.61E-21
30114.00,1.77E-21
30114.10,2.16E-21
30114.20,2.45E-21
30114.30,2.64E-21
30114.40,4.14E-21
30114.50,6.26E-21
30114.60,5.84E-21
30114.70,4.02E-21
30114.80,3.38E-21
30114.90,2.78E-21
30115.00,2.24E-21
30115.10,2.09E-21
30115.20,1.96E-21
30115.30,1.90E-21
30115.40,1.90E-21
30115.50,2.10E-21
30115.60,2.59E-21
30115.70,2.65E-21
30115.80,2.28E-21
30115.90,2.33E-21
30116.00,2.51E-21
30116.10,2.21E-21
