r,1,2,3,4,5,6
1.44022222,6.39E+02,3.10E+04,5.38E+04,4.64E+04,7.08E+04,7.33E+04
1.44483333,7.06E+02,3.10E+04,5.36E+04,4.62E+04,7.04E+04,7.26E+04
1.44944444,7.75E+02,3.10E+04,5.33E+04,4.60E+04,7.00E+04,7.20E+04
1.45405556,8.48E+02,3.10E+04,5.31E+04,4.58E+04,6.96E+04,7.14E+04
1.45866667,9.22E+02,3.11E+04,5.28E+04,4.56E+04,6.92E+04,7.08E+04
1.46327778,1.00E+03,3.11E+04,5.26E+04,4.54E+04,6.88E+04,7.02E+04
1.46788889,1.08E+03,3.11E+04,5.23E+04,4.52E+04,6.84E+04,6.97E+04
1.4725,1.16E+03,3.11E+04,5.21E+04,4.50E+04,6.80E+04,6.91E+04
1.47711111,1.25E+03,3.11E+04,5.19E+04,4.48E+04,6.77E+04,6.86E+04
1.48172222,1.33E+03,3.11E+04,5.16E+04,4.46E+04,6.73E+04,6.80E+04
1.48633333,1.42E+03,3.12E+04,5.14E+04,4.44E+04,6.69E+04,6.75E+04
1.49094444,1.51E+03,3.12E+04,5.12E+04,4.42E+04,6.65E+04,6.70E+04
1.49555556,1.61E+03,3.12E+04,5.10E+04,4.40E+04,6.62E+04,6.65E+04
1.50016667,1.70E+03,3.12E+04,5.07E+04,4.39E+04,6.58E+04,6.60E+04
1.50477778,1.80E+03,3.13E+04,5.05E+04,4.37E+04,6.54E+04,6.55E+04
1.50938889,1.90E+03,3.13E+04,5.03E+04,4.35E+04,6.51E+04,6.51E+04
1.514,2.00E+03,3.13E+04,5.01E+04,4.33E+04,6.47E+04,6.46E+04
1.51861111,2.10E+03,3.14E+04,4.99E+04,4.31E+04,6.43E+04,6.42E+04
1.52322222,2.21E+03,3.14E+04,4.97E+04,4.30E+04,6.40E+04,6.37E+04
1.52783333,2.31E+03,3.14E+04,4.95E+04,4.28E+04,6.36E+04,6.33E+04
1.53244444,2.42E+03,3.15E+04,4.93E+04,4.26E+04,6.33E+04,6.29E+04
1.53705556,2.53E+03,3.15E+04,4.91E+04,4.25E+04,6.29E+04,6.25E+04
1.54166667,2.64E+03,3.15E+04,4.89E+04,4.23E+04,6.26E+04,6.21E+04
1.54627778,2.76E+03,3.16E+04,4.87E+04,4.21E+04,6.22E+04,6.17E+04
1.55088889,2.87E+03,3.16E+04,4.85E+04,4.20E+04,6.19E+04,6.13E+04
1.5555,2.98E+03,3.17E+04,4.83E+04,4.18E+04,6.15E+04,6.09E+04
1.56011111,3.10E+03,3.17E+04,4.81E+04,4.17E+04,6.12E+04,6.05E+04
1.56472222,3.22E+03,3.17E+04,4.79E+04,4.15E+04,6.09E+04,6.02E+04
1.56933333,3.34E+03,3.18E+04,4.77E+04,4.14E+04,6.05E+04,5.98E+04
1.57394444,3.46E+03,3.18E+04,4.75E+04,4.12E+04,6.02E+04,5.95E+04
1.57855556,3.58E+03,3.19E+04,4.74E+04,4.11E+04,5.99E+04,5.91E+04
1.58316667,3.70E+03,3.19E+04,4.72E+04,4.09E+04,5.95E+04,5.88E+04
1.58777778,3.83E+03,3.20E+04,4.70E+04,4.08E+04,5.92E+04,5.85E+04
1.59238889,3.95E+03,3.20E+04,4.68E+04,4.06E+04,5.89E+04,5.81E+04
1.597,4.08E+03,3.21E+04,4.66E+04,4.05E+04,5.86E+04,5.78E+04
1.60161111,4.21E+03,3.21E+04,4.65E+04,4.04E+04,5.83E+04,5.75E+04
1.60622222,4.34E+03,3.22E+04,4.63E+04,4.02E+04,5.79E+04,5.72E+04
1.61083333,4.47E+03,3.22E+04,4.61E+04,4.01E+04,5.76E+04,5.69E+04
1.61544444,4.60E+03,3.23E+04,4.60E+04,4.00E+04,5.73E+04,5.66E+04
1.62005556,4.73E+03,3.23E+04,4.58E+04,3.98E+04,5.70E+04,5.63E+04
1.62466667,4.86E+03,3.24E+04,4.56E+04,3.97E+04,5.67E+04,5.61E+04
1.62927778,4.99E+03,3.24E+04,4.55E+04,3.96E+04,5.64E+04,5.58E+04
1.63388889,5.12E+03,3.25E+04,4.53E+04,3.94E+04,5.61E+04,5.55E+04
1.6385,5.26E+03,3.25E+04,4.51E+04,3.93E+04,5.58E+04,5.53E+04
1.64311111,5.39E+03,3.26E+04,4.50E+04,3.92E+04,5.55E+04,5.50E+04
1.64772222,5.53E+03,3.26E+04,4.48E+04,3.91E+04,5.53E+04,5.48E+04
1.65233333,5.66E+03,3.27E+04,4.47E+04,3.90E+04,5.50E+04,5.45E+04
1.65694444,5.80E+03,3.28E+04,4.45E+04,3.88E+04,5.47E+04,5.43E+04
1.66155556,5.94E+03,3.28E+04,4.44E+04,3.87E+04,5.44E+04,5.40E+04
1.66616667,6.07E+03,3.29E+04,4.42E+04,3.86E+04,5.41E+04,5.38E+04
1.67077778,6.21E+03,3.29E+04,4.41E+04,3.85E+04,5.39E+04,5.36E+04
1.67538889,6.35E+03,3.30E+04,4.39E+04,3.84E+04,5.36E+04,5.33E+04
1.68,6.49E+03,3.30E+04,4.38E+04,3.83E+04,5.33E+04,5.31E+04
1.68461111,6.63E+03,3.31E+04,4.36E+04,3.82E+04,5.31E+04,5.29E+04
1.68922222,6.77E+03,3.31E+04,4.35E+04,3.81E+04,5.28E+04,5.27E+04
1.69383333,6.91E+03,3.32E+04,4.34E+04,3.80E+04,5.25E+04,5.25E+04
1.69844444,7.05E+03,3.32E+04,4.32E+04,3.79E+04,5.23E+04,5.23E+04
1.70305556,7.19E+03,3.33E+04,4.31E+04,3.78E+04,5.20E+04,5.21E+04
1.70766667,7.33E+03,3.34E+04,4.29E+04,3.77E+04,5.18E+04,5.19E+04
1.71227778,7.47E+03,3.34E+04,4.28E+04,3.76E+04,5.15E+04,5.17E+04
1.71688889,7.62E+03,3.35E+04,4.27E+04,3.75E+04,5.13E+04,5.15E+04
1.7215,7.76E+03,3.35E+04,4.25E+04,3.74E+04,5.10E+04,5.13E+04
1.72611111,7.90E+03,3.36E+04,4.24E+04,3.73E+04,5.08E+04,5.11E+04
1.73072222,8.04E+03,3.36E+04,4.23E+04,3.72E+04,5.05E+04,5.10E+04
1.73533333,8.18E+03,3.37E+04,4.22E+04,3.71E+04,5.03E+04,5.08E+04
1.73994444,8.33E+03,3.38E+04,4.20E+04,3.70E+04,5.01E+04,5.06E+04
1.74455556,8.47E+03,3.38E+04,4.19E+04,3.69E+04,4.98E+04,5.04E+04
1.74916667,8.61E+03,3.39E+04,4.18E+04,3.68E+04,4.96E+04,5.03E+04
1.75377778,8.76E+03,3.39E+04,4.17E+04,3.67E+04,4.94E+04,5.01E+04
1.75838889,8.90E+03,3.40E+04,4.15E+04,3.66E+04,4.91E+04,4.99E+04
1.763,9.04E+03,3.40E+04,4.14E+04,3.65E+04,4.89E+04,4.98E+04
1.76761111,9.18E+03,3.41E+04,4.13E+04,3.65E+04,4.87E+04,4.96E+04
1.77222222,9.33E+03,3.41E+04,4.12E+04,3.64E+04,4.85E+04,4.95E+04
1.77683333,9.47E+03,3.42E+04,4.11E+04,3.63E+04,4.83E+04,4.93E+04
1.78144444,9.61E+03,3.43E+04,4.10E+04,3.62E+04,4.80E+04,4.92E+04
1.78605556,9.76E+03,3.43E+04,4.08E+04,3.61E+04,4.78E+04,4.90E+04
1.79066667,9.90E+03,3.44E+04,4.07E+04,3.61E+04,4.76E+04,4.89E+04
1.79527778,1.00E+04,3.44E+04,4.06E+04,3.60E+04,4.74E+04,4.88E+04
1.79988889,1.02E+04,3.45E+04,4.05E+04,3.59E+04,4.72E+04,4.86E+04
1.8045,1.03E+04,3.45E+04,4.04E+04,3.58E+04,4.70E+04,4.85E+04
1.80911111,1.05E+04,3.46E+04,4.03E+04,3.57E+04,4.68E+04,4.84E+04
1.81372222,1.06E+04,3.46E+04,4.02E+04,3.57E+04,4.66E+04,4.82E+04
1.81833333,1.08E+04,3.47E+04,4.01E+04,3.56E+04,4.64E+04,4.81E+04
1.82294444,1.09E+04,3.47E+04,4.00E+04,3.55E+04,4.62E+04,4.80E+04
1.82755556,1.10E+04,3.48E+04,3.99E+04,3.55E+04,4.60E+04,4.79E+04
1.83216667,1.12E+04,3.48E+04,3.98E+04,3.54E+04,4.58E+04,4.77E+04
1.83677778,1.13E+04,3.49E+04,3.97E+04,3.53E+04,4.56E+04,4.76E+04
1.84138889,1.15E+04,3.49E+04,3.96E+04,3.53E+04,4.55E+04,4.75E+04
1.846,1.16E+04,3.50E+04,3.95E+04,3.52E+04,4.53E+04,4.74E+04
1.85061111,1.17E+04,3.51E+04,3.94E+04,3.51E+04,4.51E+04,4.73E+04
