r,1,2,3,4,5,
0.92512251,4.10E+04,1.68E+05,1.85E+05,1.88E+05,2.22E+05,
0.92553755,4.09E+04,1.68E+05,1.85E+05,1.88E+05,2.22E+05,
0.9259526,4.08E+04,1.68E+05,1.85E+05,1.88E+05,2.22E+05,
0.92636764,4.07E+04,1.68E+05,1.85E+05,1.88E+05,2.21E+05,
0.92678268,4.05E+04,1.68E+05,1.85E+05,1.88E+05,2.21E+05,
0.92719772,4.04E+04,1.67E+05,1.85E+05,1.88E+05,2.21E+05,
0.92761276,4.03E+04,1.67E+05,1.85E+05,1.88E+05,2.21E+05,
0.9280278,4.02E+04,1.67E+05,1.85E+05,1.88E+05,2.21E+05,
0.92844284,4.01E+04,1.67E+05,1.85E+05,1.88E+05,2.21E+05,
0.92885789,3.99E+04,1.67E+05,1.85E+05,1.87E+05,2.21E+05,
0.92927293,3.98E+04,1.67E+05,1.84E+05,1.87E+05,2.21E+05,
0.92968797,3.97E+04,1.67E+05,1.84E+05,1.87E+05,2.21E+05,
0.93010301,3.96E+04,1.67E+05,1.84E+05,1.87E+05,2.21E+05,
0.93051805,3.95E+04,1.67E+05,1.84E+05,1.87E+05,2.21E+05,
0.93093309,3.93E+04,1.67E+05,1.84E+05,1.87E+05,2.20E+05,
0.93134813,3.92E+04,1.66E+05,1.84E+05,1.87E+05,2.20E+05,
0.93176318,3.91E+04,1.66E+05,1.84E+05,1.87E+05,2.20E+05,
0.93217822,3.90E+04,1.66E+05,1.84E+05,1.87E+05,2.20E+05,
0.93259326,3.89E+04,1.66E+05,1.84E+05,1.87E+05,2.20E+05,
0.9330083,3.87E+04,1.66E+05,1.84E+05,1.87E+05,2.20E+05,
0.93342334,3.86E+04,1.66E+05,1.84E+05,1.86E+05,2.20E+05,
0.93383838,3.85E+04,1.66E+05,1.83E+05,1.86E+05,2.20E+05,
0.93425343,3.84E+04,1.66E+05,1.83E+05,1.86E+05,2.20E+05,
0.93466847,3.83E+04,1.66E+05,1.83E+05,1.86E+05,2.20E+05,
0.93508351,3.82E+04,1.66E+05,1.83E+05,1.86E+05,2.19E+05,
0.93549855,3.80E+04,1.66E+05,1.83E+05,1.86E+05,2.19E+05,
0.93591359,3.79E+04,1.65E+05,1.83E+05,1.86E+05,2.19E+05,
0.93632863,3.78E+04,1.65E+05,1.83E+05,1.86E+05,2.19E+05,
0.93674367,3.77E+04,1.65E+05,1.83E+05,1.86E+05,2.19E+05,
0.93715872,3.76E+04,1.65E+05,1.83E+05,1.86E+05,2.19E+05,
0.93757376,3.75E+04,1.65E+05,1.83E+05,1.86E+05,2.19E+05,
0.9379888,3.74E+04,1.65E+05,1.83E+05,1.85E+05,2.19E+05,
0.93840384,3.72E+04,1.65E+05,1.82E+05,1.85E+05,2.19E+05,
0.93881888,3.71E+04,1.65E+05,1.82E+05,1.85E+05,2.19E+05,
0.93923392,3.70E+04,1.65E+05,1.82E+05,1.85E+05,2.19E+05,
0.93964896,3.69E+04,1.65E+05,1.82E+05,1.85E+05,2.18E+05,
0.94006401,3.68E+04,1.65E+05,1.82E+05,1.85E+05,2.18E+05,
0.94047905,3.67E+04,1.64E+05,1.82E+05,1.85E+05,2.18E+05,
0.94089409,3.66E+04,1.64E+05,1.82E+05,1.85E+05,2.18E+05,
0.94130913,3.65E+04,1.64E+05,1.82E+05,1.85E+05,2.18E+05,
0.94172417,3.63E+04,1.64E+05,1.82E+05,1.85E+05,2.18E+05,
0.94213921,3.62E+04,1.64E+05,1.82E+05,1.85E+05,2.18E+05,
0.94255426,3.61E+04,1.64E+05,1.82E+05,1.84E+05,2.18E+05,
0.9429693,3.60E+04,1.64E+05,1.82E+05,1.84E+05,2.18E+05,
0.94338434,3.59E+04,1.64E+05,1.81E+05,1.84E+05,2.18E+05,
0.94379938,3.58E+04,1.64E+05,1.81E+05,1.84E+05,2.18E+05,
0.94421442,3.57E+04,1.64E+05,1.81E+05,1.84E+05,2.17E+05,
0.94462946,3.56E+04,1.64E+05,1.81E+05,1.84E+05,2.17E+05,
