r,1,2,3
3.1325,29488.9516,39767.9838,40176.5994
3.13711,29501.1237,39769.444,40173.8272
3.14172,29513.16,39770.8818,40171.0833
3.14633,29525.0621,39772.2975,40168.3675
3.15094,29536.8314,39773.6914,40165.6794
3.15556,29548.4695,39775.0638,40163.0187
3.16017,29559.9776,39776.415,40160.3851
3.16478,29571.3574,39777.7455,40157.7782
3.16939,29582.6101,39779.0554,40155.1978
3.174,29593.7371,39780.3451,40152.6436
3.17861,29604.7399,39781.6149,40150.1152
3.18322,29615.6198,39782.8651,40147.6123
3.18783,29626.3781,39784.0959,40145.1347
3.19244,29637.0162,39785.3078,40142.682
3.19706,29647.5354,39786.5009,40140.254
3.20167,29657.9371,39787.6755,40137.8504
3.20628,29668.2225,39788.832,40135.471
3.21089,29678.3928,39789.9706,40133.1153
3.2155,29688.4494,39791.0915,40130.7832
3.22011,29698.3936,39792.1951,40128.4744
3.22472,29708.2265,39793.2816,40126.1887
3.22933,29717.9493,39794.3512,40123.9257
3.23394,29727.5634,39795.4042,40121.6852
3.23856,29737.0699,39796.4409,40119.4669
3.24317,29746.47,39797.4615,40117.2707
3.24778,29755.7648,39798.4663,40115.0962
3.25239,29764.9556,39799.4554,40112.9432
3.257,29774.0435,39800.4292,40110.8115
3.26161,29783.0296,39801.3878,40108.7007
3.26622,29791.915,39802.3315,40106.6108
3.27083,29800.701,39803.2606,40104.5414
3.27544,29809.3885,39804.1751,40102.4924
3.28006,29817.9786,39805.0755,40100.4634
3.28467,29826.4726,39805.9618,40098.4544
3.28928,29834.8713,39806.8343,40096.4649
3.29389,29843.1759,39807.6932,40094.4949
3.2985,29851.3874,39808.5387,40092.5441
3.30311,29859.5069,39809.371,40090.6123
3.30772,29867.5353,39810.1904,40088.6993
3.31233,29875.4738,39810.9969,40086.8048
3.31694,29883.3232,39811.7909,40084.9287
3.32156,29891.0846,39812.5725,40083.0708
3.32617,29898.759,39813.3418,40081.2309
3.33078,29906.3473,39814.0991,40079.4087
3.33539,29913.8505,39814.8446,40077.6041
3.34,29921.2695,39815.5785,40075.8169
3.34461,29928.6053,39816.3008,40074.0469
3.34922,29935.8588,39817.0118,40072.2938
3.35383,29943.0309,39817.7118,40070.5576
3.35844,29950.1226,39818.4007,40068.838
3.36306,29957.1347,39819.0789,40067.1349
3.36767,29964.0681,39819.7464,40065.448
3.37228,29970.9237,39820.4035,40063.7772
3.37689,29977.7023,39821.0502,40062.1224
3.3815,29984.4049,39821.6869,40060.4832
3.38611,29991.0323,39822.3135,40058.8597
3.39072,29997.5853,39822.9303,40057.2515
3.39533,30004.0647,39823.5374,40055.6586
3.39994,30010.4714,39824.135,40054.0808
3.40456,30016.8062,39824.7232,40052.5179
3.40917,30023.0698,39825.3022,40050.9697
3.41378,30029.2632,39825.872,40049.4361
3.41839,30035.387,39826.4329,40047.9169
3.423,30041.4421,39826.985,40046.412
3.42761,30047.4292,39827.5284,40044.9213
3.43222,30053.349,39828.0632,40043.4445
3.43683,30059.2024,39828.5897,40041.9815
3.44144,30064.9901,39829.1078,40040.5322
3.44606,30070.7128,39829.6178,40039.0965
3.45067,30076.3713,39830.1197,40037.6741
3.45528,30081.9662,39830.6138,40036.265
3.45989,30087.4982,39831.1,40034.8689
3.4645,30092.9682,39831.5786,40033.4859
3.46911,30098.3767,39832.0497,40032.1156
3.47372,30103.7245,39832.5133,40030.7581
3.47833,30109.0123,39832.9696,40029.4131
3.48294,30114.2406,39833.4187,40028.0805
3.48756,30119.4103,39833.8607,40026.7602
3.49217,30124.5219,39834.2957,40025.4521
3.49678,30129.5761,39834.7238,40024.156
