r,1,2,3,4,5,6,7,8
1.6842,-176.0933859,55.97491502,38.60091522,28.30892145,-55.99780362,88.06912461,76.21821723,-167.0794319
1.6885,-176.1478659,55.54338205,39.25604176,28.77294095,-55.99897014,88.12960497,76.44361166,-167.087963
1.6928,-176.1944485,55.11053845,39.91319593,29.23849495,-55.99990112,88.19168365,76.67004221,-167.0984477
1.6971,-176.2330805,54.67653092,40.57222982,29.70549506,-56.00049766,88.25546792,76.89776028,-167.11123
1.7014,-176.2636464,54.24123087,41.23339177,30.17397324,-56.0007809,88.32055124,77.12634929,-167.1260263
1.7057,-176.2860076,53.80436605,41.89707642,30.64400589,-56.00081625,88.38633731,77.35514602,-167.142321
1.71,-176.3000256,53.36566293,42.56367863,31.11566947,-56.00066924,88.45222955,77.58348687,-167.1595982
1.7143,-176.3055619,52.924848,43.23359329,31.58904045,-56.00040537,88.51763135,77.81070823,-167.1773419
1.7186,-176.3024778,52.48164775,43.90721527,32.06419529,-56.00009014,88.58194615,78.03614651,-167.1950363
1.7229,-176.2906539,52.03580793,44.5849031,32.54120472,-55.99978508,88.64462248,78.25918555,-167.212197
1.7272,-176.2701573,51.5873719,45.26665917,33.02008318,-55.99951271,88.70555136,78.47967457,-167.2286484
1.7315,-176.2411611,51.13661713,45.95228408,33.50081325,-55.99927345,88.76487455,78.69772645,-167.2443903
1.7358,-176.2038394,50.68382742,46.6415761,33.98337711,-55.99906746,88.82273667,78.91345708,-167.2594243
1.7401,-176.1583663,50.22928654,47.33433351,34.46775698,-55.99889491,88.87928234,79.12698236,-167.2737521
1.7444,-176.1049162,49.77327828,48.03035457,34.95393506,-55.99875597,88.93465616,79.33841817,-167.2873753
1.7487,-176.0436632,49.31608643,48.72943758,35.44189353,-55.9986508,88.98900276,79.54788042,-167.3002956
1.753,-175.9747814,48.85799477,49.4313808,35.93161461,-55.99857957,89.04246676,79.75548499,-167.3125146
1.7573,-175.898445,48.39928708,50.13598251,36.42308049,-55.99854244,89.09519276,79.96134778,-167.324034
1.7616,-175.8148283,47.94024715,50.843041,36.91627337,-55.99853958,89.14732539,80.16558469,-167.3348554
1.7659,-175.7241054,47.48115877,51.55235454,37.41117545,-55.99857116,89.19900926,80.3683116,-167.3449805
1.7702,-175.6264506,47.02230572,52.2637214,37.90776894,-55.99863733,89.250389,80.56964442,-167.354411
1.7745,-175.5220379,46.56397178,52.97693986,38.40603603,-55.99873828,89.30160921,80.76969903,-167.3631484
1.7788,-175.4110416,46.10644074,53.69180821,38.90595892,-55.99887415,89.35281451,80.96859132,-167.3711946
1.7831,-175.2936359,45.64999639,54.40812471,39.40751982,-55.99904512,89.40414952,81.16643721,-167.378551
1.7874,-175.1699949,45.19492251,55.12568764,39.91070092,-55.99925136,89.45575886,81.36335256,-167.3852194
1.7917,-175.0402929,44.74150288,55.84429529,40.41548442,-55.99949302,89.50778714,81.55945329,-167.3912014
1.796,-174.904704,44.2900213,56.56374593,40.92185253,-55.99977028,89.56037897,81.75485528,-167.3964987
1.8003,-174.7634018,43.84076097,57.28383838,41.42978683,-56.00008324,89.61367841,81.94967447,-167.4011128
1.8046,-174.6164824,43.39365151,58.00443511,41.93919953,-56.00042511,89.66776285,82.14403263,-167.4050418
